year,x,N_h,N_m
2020,0,916140,896837
2020,1,967223,942735
2020,2,1031816,1009303
2020,3,1060809,1047597
2020,4,1101494,1073411
2020,5,1106361,1072540
2020,6,1057642,1037707
2020,7,1087091,1059203
2020,8,1140496,1093999
2020,9,1061501,1047839
2020,10,1174026,1125241
2020,11,1066706,1034766
2020,12,1146128,1103439
2020,13,1082309,1058332
2020,14,1085091,1067502
2020,15,1113136,1080658
2020,16,1054448,1032036
2020,17,1122956,1089440
2020,18,1172693,1134982
2020,19,998917,1007424
2020,20,1146232,1161603
2020,21,957236,960314
2020,22,1061846,1067065
2020,23,1005112,1028971
2020,24,995458,1038258
2020,25,1063775,1115241
2020,26,954163,1022308
2020,27,955081,999565
2020,28,1001692,1042848
2020,29,886693,951635
2020,30,1148015,1218303
2020,31,734272,807132
2020,32,959947,1037842
2020,33,849187,927893
2020,34,836305,901931
2020,35,966246,1036930
2020,36,870975,957381
2020,37,767996,832855
2020,38,941824,1000225
2020,39,784489,861355
2020,40,1059322,1146683
2020,41,624905,690335
2020,42,928285,997622
2020,43,768115,850194
2020,44,681677,756448
2020,45,919327,976618
2020,46,718647,790847
2020,47,725378,782495
2020,48,763098,828232
2020,49,685894,751877
2020,50,890709,974467
2020,51,519757,580730
2020,52,711793,779167
2020,53,606024,675736
2020,54,603880,695269
2020,55,621423,694085
2020,56,591296,644523
2020,57,476655,536515
2020,58,524223,589095
2020,59,479379,538764
2020,60,627532,705998
2020,61,347068,399294
2020,62,456755,516023
2020,63,431407,488413
2020,64,395100,453472
2020,65,462245,520856
2020,66,316121,363669
2020,67,316743,350108
2020,68,349542,404171
2020,69,262199,299423
2020,70,332464,383782
2020,71,194181,219326
2020,72,272830,307181
2020,73,223788,256636
2020,74,210229,246923
2020,75,219479,250636
2020,76,178282,205385
2020,77,148489,168928
2020,78,171128,191770
2020,79,130520,149965
2020,80,156170,192832
2020,81,83368,98336
2020,82,102905,127145
2020,83,92350,118019
2020,84,89019,115220
2020,85,82532,107237
2020,86,65151,85514
2020,87,52994,70759
2020,88,43694,58161
2020,89,38980,54223
2020,90,39510,56749
2020,91,17136,25149
2020,92,20213,30231
2020,93,16679,25074
2020,94,13820,22245
2020,95,11533,18384
2020,96,8984,13720
2020,97,6309,10227
2020,98,5892,9560
2020,99,3897,6699
2020,100,6644,11651
2020,,136194,137192
2010,0,1009489,973661
2010,1,1032850,993935
2010,2,1090285,1057647
2010,3,1103738,1081251
2010,4,1110581,1074885
2010,5,1101997,1062782
2010,6,1106926,1081422
2010,7,1110939,1080043
2010,8,1150085,1108793
2010,9,1134228,1110322
2010,10,1195073,1144959
2010,11,1060949,1034824
2010,12,1117990,1080336
2010,13,1072559,1044828
2010,14,1101042,1087377
2010,15,1140865,1123473
2010,16,1086454,1077824
2010,17,1149129,1133203
2010,18,1164809,1150835
2010,19,978864,1020656
2010,20,1054635,1103374
2010,21,904398,948353
2010,22,999130,1041599
2010,23,945072,1008597
2010,24,909969,977144
2010,25,904437,983670
2010,26,828649,915581
2010,27,838537,906172
2010,28,868538,936863
2010,29,765814,839916
2010,30,974397,1059255
2010,31,649810,726936
2010,32,843712,943576
2010,33,791171,873015
2010,34,766941,841985
2010,35,843929,929641
2010,36,810979,894940
2010,37,760030,820965
2010,38,850810,915163
2010,39,698990,767540
2010,40,882309,960415
2010,41,533074,583241
2010,42,779598,824726
2010,43,603284,672572
2010,44,552057,617950
2010,45,669112,726848
2010,46,544826,606129
2010,47,532142,580955
2010,48,567322,624917
2010,49,510962,565517
2010,50,651527,717349
2010,51,380904,421833
2010,52,507547,551331
2010,53,436009,483410
2010,54,426464,487917
2010,55,454473,497724
2010,56,411014,435785
2010,57,331778,358032
2010,58,351868,387501
2010,59,320404,346786
2010,60,422588,461898
2010,61,212664,238556
2010,62,294237,324954
2010,63,286684,317862
2010,64,260494,296529
2010,65,282382,315550
2010,66,208202,233826
2010,67,205218,222583
2010,68,212201,243509
2010,69,187270,206524
2010,70,256132,295781
2010,71,125161,139372
2010,72,182306,206993
2010,73,158753,183282
2010,74,151541,174613
2010,75,155999,180550
2010,76,122301,140245
2010,77,100407,114872
2010,78,118115,134166
2010,79,82867,95961
2010,80,115614,146770
2010,81,52882,61486
2010,82,68286,84034
2010,83,59413,75129
2010,84,59082,76240
2010,85,58504,77504
2010,86,45699,57332
2010,87,37282,48267
2010,88,31418,40130
2010,89,24558,33470
2010,90,28066,39794
2010,91,10068,13701
2010,92,12690,18109
2010,93,9811,13891
2010,94,7495,11299
2010,95,7277,11628
2010,96,6379,9545
2010,97,4417,6631
2010,98,4625,7304
2010,99,3222,4704
2010,100,7228,11247
2010,,700219,697187
