edad,x,Dx_i,Dxm_i,Dxf_i
Menores de 1 año,0,72,39,33
1-4 años,1,103,55,48
5-9 años,5,83,47,36
10-14 años,10,203,147,56
15-19 años,15,2452,2077,375
20-24 años,20,5194,4598,596
25-29 años,25,5956,5379,577
30-34 años,30,5327,4817,509
35-39 años,35,4415,4028,385
40-44 años,40,3693,3353,339
45-49 años,45,2756,2524,230
50-54 años,50,1738,1574,164
55-59 años,55,1120,992,128
60-64 años,60,710,631,79
65-69 años,65,418,356,62
70-74 años,70,269,229,40
75-79 años,75,159,125,34
80-84 años,80,96,73,23
85 años y más,85,67,46,20
